0,A3533961A,Current Prices ;  Total goods debits,$ Millions,Original,3
7555,A2303262R,Purchase of vehicles: Chain volume measures,$ Millions,Seasonally Adjusted,3
7556,A2303264V,Operation of vehicles: Chain volume measures,$ Millions,Seasonally Adjusted,3
7557,A2303266X,Transport services: Chain volume measures,$ Millions,Seasonally Adjusted,3
7558,A2303268C,Communications: Chain volume measures,$ Millions,Seasonally Adjusted,3
7559,A2303270R,Recreation and culture: Chain volume measures,$ Millions,Seasonally Adjusted,3
7560,A2303272V,Education services: Chain volume measures,$ Millions,Seasonally Adjusted,3
7561,A2303274X,"Hotels, cafes and restaurants: Chain volume measures",$ Millions,Seasonally Adjusted,3
7562,A2303276C,Insurance and other financial services: Chain volume measures,$ Millions,Seasonally Adjusted,3
7563,A2303278J,Other goods and services: Chain volume measures,$ Millions,Seasonally Adjusted,3
7564,A2303280V,FINAL CONSUMPTION EXPENDITURE: Chain volume measures,$ Millions,Seasonally Adjusted,3
7565,A2303282X,Food: Chain volume measures - Percentage changes,Percent,Seasonally Adjusted,3
7566,A2303284C,Cigarettes and tobacco: Chain volume measures - Percentage changes,Percent,Seasonally Adjusted,3
7567,A2303286J,Alcoholic beverages: Chain volume measures - Percentage changes,Percent,Seasonally Adjusted,3
7568,A2303288L,Clothing and footwear: Chain volume measures - Percentage changes,Percent,Seasonally Adjusted,3
7569,A2303290X,Rent and other dwelling services: Chain volume measures - Percentage changes,Percent,Seasonally Adjusted,3
7570,A2303292C,"Electricity, gas and other fuel: Chain volume measures - Percentage changes",Percent,Seasonally Adjusted,3
7571,A2303294J,Furnishings and household equipment: Chain volume measures - Percentage changes,Percent,Seasonally Adjusted,3
7572,A2303296L,Health: Chain volume measures - Percentage changes,Percent,Seasonally Adjusted,3
7573,A2303298T,Purchase of vehicles: Chain volume measures - Percentage changes,Percent,Seasonally Adjusted,3
7574,A2303300T,Operation of vehicles: Chain volume measures - Percentage changes,Percent,Seasonally Adjusted,3
7575,A2303302W,Transport services: Chain volume measures - Percentage changes,Percent,Seasonally Adjusted,3
7576,A2303304A,Communications: Chain volume measures - Percentage changes,Percent,Seasonally Adjusted,3
7577,A2303306F,Recreation and culture: Chain volume measures - Percentage changes,Percent,Seasonally Adjusted,3
7578,A2303308K,Education services: Chain volume measures - Percentage changes,Percent,Seasonally Adjusted,3
7579,A2303310W,"Hotels, cafes and restaurants: Chain volume measures - Percentage changes",Percent,Seasonally Adjusted,3
7580,A2303312A,Insurance and other financial services: Chain volume measures - Percentage changes,Percent,Seasonally Adjusted,3
7581,A2303314F,Other goods and services: Chain volume measures - Percentage changes,Percent,Seasonally Adjusted,3
7582,A2303316K,FINAL CONSUMPTION EXPENDITURE: Chain volume measures - Percentage changes,Percent,Seasonally Adjusted,3
7583,A2302414W,Food: Chain volume measures,$ Millions,Original,3
7584,A3606006W,Alcoholic beverages and tobacco: Chain volume measures,$ Millions,Original,3
7585,A2302415X,Cigarettes and tobacco: Chain volume measures,$ Millions,Original,3
7586,A2302416A,Alcoholic beverages: Chain volume measures,$ Millions,Original,3
7587,A2302417C,Clothing and footwear: Chain volume measures,$ Millions,Original,3
7588,A3606007X,"Housing, water, electricity, gas and other fuels: Chain volume measures",$ Millions,Original,3
7589,A3606008A,Actual and imputed rent for housing: Chain volume measures,$ Millions,Original,3
7590,A3606009C,Water and sewerage charges: Chain volume measures,$ Millions,Original,3
7591,A2302419J,"Electricity, gas and other fuel: Chain volume measures",$ Millions,Original,3
7592,A2302420T,Furnishings and household equipment: Chain volume measures,$ Millions,Original,3
7593,A3606010L,"Furniture, floor coverings and household goods: Chain volume measures",$ Millions,Original,3
7594,A3606011R,Household appliances: Chain volume measures,$ Millions,Original,3
7595,A3606012T,Household tools: Chain volume measures,$ Millions,Original,3
7596,A2302421V,Health: Chain volume measures,$ Millions,Original,3
7597,A3606013V,"Medicines, medical aids and therapeutic appliances: Chain volume measures",$ Millions,Original,3
7598,A3606014W,Total health services: Chain volume measures,$ Millions,Original,3
7599,A3606015X,Transport: Chain volume measures,$ Millions,Original,3
7600,A2302422W,Purchase of vehicles: Chain volume measures,$ Millions,Original,3
7601,A2302423X,Operation of vehicles: Chain volume measures,$ Millions,Original,3
7602,A2302424A,Transport services: Chain volume measures,$ Millions,Original,3
7603,A2302425C,Communications: Chain volume measures,$ Millions,Original,3
7604,A2302426F,Recreation and culture: Chain volume measures,$ Millions,Original,3
7605,A3606016A,Goods for recreation and culture: Chain volume measures,$ Millions,Original,3
7606,A3606017C,Recreational and cultural services: Chain volume measures,$ Millions,Original,3
7607,A3606018F,"Sporting, recreational and cultural entertainment services: Chain volume measures",$ Millions,Original,3
7608,A3606019J,Net losses from gambling: Chain volume measures,$ Millions,Original,3
7609,A3606020T,"Newspapers, books and stationery: Chain volume measures",$ Millions,Original,3
7610,A2302427J,Education services: Chain volume measures,$ Millions,Original,3
7611,A2302428K,"Hotels, cafes and restaurants: Chain volume measures",$ Millions,Original,3
7612,A3606021V,Catering services: Chain volume measures,$ Millions,Original,3
7613,A3606022W,Accommodation services: Chain volume measures,$ Millions,Original,3
7614,A3606023X,Miscellaneous goods and services: Chain volume measures,$ Millions,Original,3
7615,A3606024A,Other goods: Chain volume measures,$ Millions,Original,3
7616,A2302429L,Insurance and other financial services: Chain volume measures,$ Millions,Original,3
7617,A3606483L,Other services: Chain volume measures,$ Millions,Original,3
7618,A2302431X,FINAL CONSUMPTION EXPENDITURE: Chain volume measures,$ Millions,Original,3
7619,A2302432A,Food: Chain volume measures - Percentage changes,Percent,Original,3
7620,A3606025C,Alcoholic beverages and tobacco: Chain volume measures - Percentage changes,Percent,Original,3
7621,A2302433C,Cigarettes and tobacco: Chain volume measures - Percentage changes,Percent,Original,3
7622,A2302434F,Alcoholic beverages: Chain volume measures - Percentage changes,Percent,Original,3
7623,A2302435J,Clothing and footwear: Chain volume measures - Percentage changes,Percent,Original,3
7624,A3606026F,"Housing, water, electricity, gas and other fuels: Chain volume measures - Percentage changes",Percent,Original,3
7625,A3606027J,Actual and imputed rent for housing: Chain volume measures - Percentage changes,Percent,Original,3
7626,A3606028K,Water and sewerage charges: Chain volume measures - Percentage changes,Percent,Original,3
7627,A2302437L,"Electricity, gas and other fuel: Chain volume measures - Percentage changes",Percent,Original,3
7628,A2302438R,Furnishings and household equipment: Chain volume measures - Percentage changes,Percent,Original,3
7629,A3606029L,"Furniture, floor coverings and household goods: Chain volume measures - Percentage changes",Percent,Original,3
7630,A3606030W,Household appliances: Chain volume measures - Percentage changes,Percent,Original,3
7631,A3606031X,Household tools: Chain volume measures - Percentage changes,Percent,Original,3
7632,A2302439T,Health: Chain volume measures - Percentage changes,Percent,Original,3
7633,A3606032A,"Medicines, medical aids and therapeutic appliances: Chain volume measures - Percentage changes",Percent,Original,3
7634,A3606033C,Total health services: Chain volume measures - Percentage changes,Percent,Original,3
7635,A3606034F,Transport: Chain volume measures - Percentage changes,Percent,Original,3
7636,A2302440A,Purchase of vehicles: Chain volume measures - Percentage changes,Percent,Original,3
7637,A2302441C,Operation of vehicles: Chain volume measures - Percentage changes,Percent,Original,3
7638,A2302442F,Transport services: Chain volume measures - Percentage changes,Percent,Original,3
7639,A2302443J,Communications: Chain volume measures - Percentage changes,Percent,Original,3
7640,A2302444K,Recreation and culture: Chain volume measures - Percentage changes,Percent,Original,3
7641,A3606035J,Goods for recreation and culture: Chain volume measures - Percentage changes,Percent,Original,3
7642,A3606036K,Recreational and cultural services: Chain volume measures - Percentage changes,Percent,Original,3
7643,A3606037L,"Sporting, recreational and cultural entertainment services: Chain volume measures - Percentage changes",Percent,Original,3
7644,A3606038R,Net losses from gambling: Chain volume measures - Percentage changes,Percent,Original,3
7645,A3606039T,"Newspapers, books and stationery: Chain volume measures - Percentage changes",Percent,Original,3
7646,A2302445L,Education services: Chain volume measures - Percentage changes,Percent,Original,3
7647,A2302446R,"Hotels, cafes and restaurants: Chain volume measures - Percentage changes",Percent,Original,3
7648,A3606040A,Catering services: Chain volume measures - Percentage changes,Percent,Original,3
7649,A3606041C,Accommodation services: Chain volume measures - Percentage changes,Percent,Original,3
7650,A3606042F,Miscellaneous goods and services: Chain volume measures - Percentage changes,Percent,Original,3
7651,A3606043J,Other goods: Chain volume measures - Percentage changes,Percent,Original,3
7652,A2302447T,Insurance and other financial services: Chain volume measures - Percentage changes,Percent,Original,3
7653,A3606484R,Other services: Chain volume measures - Percentage changes,Percent,Original,3
7654,A2302449W,FINAL CONSUMPTION EXPENDITURE: Chain volume measures - Percentage changes,Percent,Original,3
7655,A2302450F,Food: Current prices,$ Millions,Trend,3
7656,A2302451J,Cigarettes and tobacco: Current prices,$ Millions,Trend,3
7657,A2302452K,Alcoholic beverages: Current prices,$ Millions,Trend,3
7658,A2302204X,Clothing and footwear: Current prices,$ Millions,Trend,3
7659,A2302205A,Rent and other dwelling services: Current prices,$ Millions,Trend,3
7660,A2302206C,"Electricity, gas and other fuel: Current prices",$ Millions,Trend,3
7661,A2302207F,Furnishings and household equipment: Current prices,$ Millions,Trend,3
7662,A2302208J,Health: Current prices,$ Millions,Trend,3
7663,A2302209K,Purchase of vehicles: Current prices,$ Millions,Trend,3
7664,A2302210V,Operation of vehicles: Current prices,$ Millions,Trend,3
7665,A2302211W,Transport services: Current prices,$ Millions,Trend,3
7666,A2302212X,Communications: Current prices,$ Millions,Trend,3
7667,A2302213A,Recreation and culture: Current prices,$ Millions,Trend,3
7668,A2302214C,Education services: Current prices,$ Millions,Trend,3
7669,A2302215F,"Hotels, cafes and restaurants: Current prices",$ Millions,Trend,3
7670,A2302216J,Insurance and other financial services: Current prices,$ Millions,Trend,3
7671,A2302217K,Other goods and services: Current prices,$ Millions,Trend,3
7672,A3606003R,Memorandum items - Net expenditure overseas: Current prices,$ Millions,Trend,3
7673,A2302218L,FINAL CONSUMPTION EXPENDITURE: Current prices,$ Millions,Trend,3
7674,A2302219R,Food: Current prices,$ Millions,Seasonally Adjusted,3
7675,A2302220X,Cigarettes and tobacco: Current prices,$ Millions,Seasonally Adjusted,3
7676,A2302221A,Alcoholic beverages: Current prices,$ Millions,Seasonally Adjusted,3
7677,A2302222C,Clothing and footwear: Current prices,$ Millions,Seasonally Adjusted,3
7678,A2302223F,Rent and other dwelling services: Current prices,$ Millions,Seasonally Adjusted,3
7679,A2302224J,"Electricity, gas and other fuel: Current prices",$ Millions,Seasonally Adjusted,3
7680,A2302225K,Furnishings and household equipment: Current prices,$ Millions,Seasonally Adjusted,3
7681,A2302226L,Health: Current prices,$ Millions,Seasonally Adjusted,3
7682,A2302227R,Purchase of vehicles: Current prices,$ Millions,Seasonally Adjusted,3
7683,A2302228T,Operation of vehicles: Current prices,$ Millions,Seasonally Adjusted,3
7684,A2302229V,Transport services: Current prices,$ Millions,Seasonally Adjusted,3
7685,A2302230C,Communications: Current prices,$ Millions,Seasonally Adjusted,3
7686,A2302231F,Recreation and culture: Current prices,$ Millions,Seasonally Adjusted,3
7687,A2302232J,Education services: Current prices,$ Millions,Seasonally Adjusted,3
7688,A2302233K,"Hotels, cafes and restaurants: Current prices",$ Millions,Seasonally Adjusted,3
7689,A2302234L,Insurance and other financial services: Current prices,$ Millions,Seasonally Adjusted,3
7690,A2302235R,Other goods and services: Current prices,$ Millions,Seasonally Adjusted,3
7691,A3606004T,Memorandum items - Net expenditure overseas: Current prices,$ Millions,Seasonally Adjusted,3
7692,A2302236T,FINAL CONSUMPTION EXPENDITURE: Current prices,$ Millions,Seasonally Adjusted,3
7693,A2302237V,Food: Current prices,$ Millions,Original,3
7694,A3605816F,Alcoholic beverages and tobacco: Current prices,$ Millions,Original,3
7695,A2302238W,Cigarettes and tobacco: Current prices,$ Millions,Original,3
7696,A2302239X,Alcoholic beverages: Current prices,$ Millions,Original,3
7697,A2302240J,Clothing and footwear: Current prices,$ Millions,Original,3
7698,A3605680F,"Housing, water, electricity, gas and other fuels: Current prices",$ Millions,Original,3
7699,A3605681J,Actual and imputed rent for housing: Current prices,$ Millions,Original,3
7700,A3605682K,Water and sewerage charges: Current prices,$ Millions,Original,3
7701,A2302242L,"Electricity, gas and other fuel: Current prices",$ Millions,Original,3
7702,A2302243R,Furnishings and household equipment: Current prices,$ Millions,Original,3
